年次,都道府県名,region,田_本地_ha,田_けい畔_ha,畑_本地_ha,畑_けい畔_ha
1993,宮城県,Miyagi,112700,5210,28400,1230
1994,宮城県,Miyagi,112500,5200,27900,1200
1995,宮城県,Miyagi,112100,5180,27300,1170
1996,宮城県,Miyagi,111600,5150,26900,1150
1997,宮城県,Miyagi,111200,5120,26600,1140
1998,宮城県,Miyagi,110700,4960,26400,1100
1999,宮城県,Miyagi,110500,4840,26200,1050
2000,宮城県,Miyagi,110100,4720,25900,1010
2001,宮城県,Miyagi,109700,4630,25700,973
2002,宮城県,Miyagi,109200,4560,25200,955
2003,宮城県,Miyagi,108900,4490,24900,925
2004,宮城県,Miyagi,108100,4390,25200,928
2005,宮城県,Miyagi,107700,4120,25200,972
2006,宮城県,Miyagi,107300,4100,25200,944
2007,宮城県,Miyagi,107000,4090,25100,941
2008,宮城県,Miyagi,106700,4070,25000,935
2009,宮城県,Miyagi,106400,4060,25100,937
2010,宮城県,Miyagi,106200,4050,25100,936
2011,宮城県,Miyagi,98200,3730,23400,858
2012,宮城県,Miyagi,99900,3790,23300,855
2013,宮城県,Miyagi,101800,3870,23100,846
2014,宮城県,Miyagi,102600,3890,22700,789
2015,宮城県,Miyagi,102300,3840,22500,781
2016,宮城県,Miyagi,101900,3820,22100,759
2017,宮城県,Miyagi,101700,3820,21500,733
2018,宮城県,Miyagi,101100,3790,21300,723
2019,宮城県,Miyagi,100700,3770,21200,718
2020,宮城県,Miyagi,99900,3740,21400,726
2021,宮城県,Miyagi,99700,3730,21300,725
2022,宮城県,Miyagi,99400,3720,21500,726
1965,三重県,Mie,67900,5030,29100,847
1966,三重県,Mie,67600,5010,29100,942
1967,三重県,Mie,68300,5050,26400,779
1968,三重県,Mie,68300,5040,25700,764
1969,三重県,Mie,68100,5030,24800,746
1970,三重県,Mie,67200,4960,24100,733
1971,三重県,Mie,66000,4880,23200,718
1972,三重県,Mie,64300,4730,22200,687
1973,三重県,Mie,63000,4660,21400,669
1974,三重県,Mie,61400,4530,20200,605
1975,三重県,Mie,60500,4460,19600,565
1976,三重県,Mie,60100,4390,19000,543
1977,三重県,Mie,59600,4320,18700,535
1978,三重県,Mie,59000,4280,18400,519
1979,三重県,Mie,58400,4240,18300,496
1980,三重県,Mie,57900,4190,18200,498
1981,三重県,Mie,57300,4090,18200,491
1982,三重県,Mie,57000,3990,18000,504
1983,三重県,Mie,56600,3900,17800,509
1984,三重県,Mie,56200,3810,17600,517
1985,三重県,Mie,55600,3680,17500,509
1986,三重県,Mie,54900,3520,17400,501
1987,三重県,Mie,54200,3370,17300,492
1988,三重県,Mie,53500,3250,17200,492
1989,三重県,Mie,52800,3180,16900,481
1990,三重県,Mie,52200,3130,16700,480
1991,三重県,Mie,51700,3090,16300,472
1992,三重県,Mie,51300,3060,16100,464
1993,三重県,Mie,50900,3030,16000,465
1994,三重県,Mie,50500,3010,15800,461
1995,三重県,Mie,50200,2900,15600,461
1996,三重県,Mie,49700,2800,15500,437
1997,三重県,Mie,49300,2720,15500,417
1998,三重県,Mie,48600,2630,15400,410
1999,三重県,Mie,48100,2550,15300,392
2000,三重県,Mie,47700,2500,15200,383
2001,三重県,Mie,47400,2480,15000,375
2002,三重県,Mie,46900,2460,14800,367
2003,三重県,Mie,46500,2440,14600,360
2004,三重県,Mie,46100,2420,14500,357
2005,三重県,Mie,45900,2410,14600,378
2006,三重県,Mie,45700,2400,14500,375
2007,三重県,Mie,45200,2370,14400,373
